point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (CO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
LILLE-LESQUIN,50.56,3.08972,CALVI-ST-CATHERINE,42.52,8.78972,105.0,995.012,,119.4
CALVI-ST-CATHERINE,42.52,8.78972,METZ-NANCY-LORRAINE,48.97972,6.25,85.0,745.53,,89.46
STRASBOURG-ENTZHEIM,48.53972,7.62972,CALVI-ST-CATHERINE,42.52,8.78972,87.5,676.153,,81.14
RENNES-ST-JACQUES,48.07,-1.72972,CALVI-ST-CATHERINE,42.52,8.78972,120.0,1028.164,,123.38
CAEN-CARPIQUET,49.17,-0.45,CALVI-ST-CATHERINE,42.52,8.78972,115.0,1028.759,,123.45
NANTES-ATLANTIQUE,47.15972,-1.61,CALVI-ST-CATHERINE,42.52,8.78972,105.0,968.613,,116.23
CALVI-ST-CATHERINE,42.52,8.78972,BORDEAUX-MERIGNAC,44.82972,-0.71972,100.0,807.064,,96.85
LYON-SAINT-EXUPERY,45.72972,5.08,CALVI-ST-CATHERINE,42.52,8.78972,79.0,464.143,,55.7
NANTES-ATLANTIQUE,47.15972,-1.61,HYERES-LE-PALYVESTRE,43.1,6.15,95.0,758.102,,90.97
CAEN-CARPIQUET,49.17,-0.45,NICE-COTE-D'AZUR,43.67,7.20972,95.0,847.897,,101.75
PAU-PYRENEES,43.38,-0.42,NICE-COTE-D'AZUR,43.67,7.20972,80.0,616.446,,73.97
HYERES-LE-PALYVESTRE,43.1,6.15,STRASBOURG-ENTZHEIM,48.53972,7.62972,82.5,616.285,,73.95
BREST-BRETAGNE,48.45,-4.41972,NICE-COTE-D'AZUR,43.67,7.20972,115.0,1042.424,,125.09
LILLE-LESQUIN,50.56,3.08972,PERPIGNAN-RIVESALTES,42.74,2.87,100.0,870.661,,104.48
QUIMPER-PLUGUFFAN,47.97972,-4.16972,NICE-COTE-D'AZUR,43.67,7.20972,102.5,1003.246,,120.39
CLERMONT-FERRAND-CLERMONT-FERRAND/AUVERGNE,45.78972,3.16,NICE-COTE-D'AZUR,43.67,7.20972,60.0,397.719,,47.73
MARSEILLE-PROVENCE,43.43972,5.20972,LA-ROCHELLE-ILE-DE-RE,46.17972,-1.2,82.5,590.715,,70.89
