point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Bonneville,46.07771,6.41648,Gare de La Roche-sur-Foron,46.06767,6.30374,18.31,8.778,94.8,0.79
Gare de Conflans-Jarny,49.16638,5.86824,Gare de Etain,49.20771,5.63948,20.73,17.268,186.5,1.55
Gare de Capdenac,44.57766,2.0789,Gare de Figeac,44.60351,2.03708,12.08,4.39,47.4,0.4
Bouilly (Mairie),48.19361,3.9986,Villery,48.1711,4.01861,4.0,2.913,31.5,0.26
St Jean Bonneval (Egl.),48.17166,4.04888,Lirey-La-Chapelle,48.15638,4.04221,4.0,1.772,19.1,0.16
Lirey-La-Chapelle,48.15638,4.04221,Longeville-Sur-Mogne-Ma,48.1488,4.05968,3.0,1.548,16.7,0.14
Longeville-Sur-Mogne-Ma,48.1488,4.05968,Machy,48.13999,4.04416,3.0,1.513,16.3,0.14
Machy,48.13999,4.04416,Jeugny (Eglise),48.13027,4.03638,3.0,1.227,13.3,0.11
Jeugny (Eglise),48.13027,4.03638,Fays-La-Chapelle,48.12972,4.01888,2.08,1.302,14.1,0.12
Fays-La-Chapelle,48.12972,4.01888,St Phal (Mon. Morts),48.12055,3.99639,1.92,1.958,21.1,0.18
St Phal (Mon. Morts),48.12055,3.99639,Chamoy-Carrefour D1/D23,48.11694,3.97305,3.0,1.78,19.2,0.16
Chamoy-Carrefour D1/D23,48.11694,3.97305,Montigny-les-Monts-Mair,48.10333,3.94611,4.0,2.511,27.1,0.23
Montigny-les-Monts-Mair,48.10333,3.94611,Auxon Eglise,48.10305,3.91833,7.0,2.065,22.3,0.19
St-Aignan-Pl-Wilson,47.26839,1.37236,St-Aignan-Quai-Delorme,47.27016,1.37613,4.2,0.346,3.7,0.03
St-Aignan-Quai-Delorme,47.27016,1.37613,Gare de St-Aignan-Noyers,47.28673,1.38366,6.2,1.93,20.8,0.17
Gare de Châteauroux,46.80982,1.69946,Gare de Argenton-sur-Creuse,46.59223,1.51823,18.94,27.894,301.3,2.51
Gare de Chessy (Rhône),45.88554,4.6225,Le Breuil (Rhône),45.89677,4.59122,2.94,2.727,29.5,0.25
Le Breuil (Rhône),45.89677,4.59122,Gare de Bois-d'Oingt-Légny,45.90659,4.57558,1.77,1.632,17.6,0.15
Letra-Gabodière,45.96143,4.51648,Gare de Chamelet,45.98161,4.5071,3.2,2.361,25.5,0.21
Gare de Chamelet,45.98161,4.5071,Chambost-Allières.,46.01869,4.49913,4.53,4.173,45.1,0.38
Noirétable,45.81591,3.76103,Chabreloche-Pont-Bascul,45.8766,3.6965,10.46,8.407,90.8,0.76
Gare de Clermont-Ferrand,45.77857,3.10052,Gare de Riom-Châtel-Guyon,45.88984,3.12081,16.83,12.486,134.8,1.12
Hombourg (Chapelle),49.29587,6.34351,Hombourg (Tilleuls),49.29815,6.33881,1.58,0.425,4.6,0.04
Hombourg (Tilleuls),49.29815,6.33881,Kédange (Eglise),49.30832,6.33832,1.83,1.133,12.2,0.1
