point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Fréjus (Péage Ouest),43.45631,6.68948,Antibes (Pôle d'échanges),43.58636,7.11893,40.0,47.683,2789.5,3.34
Antibes (Pôle d'échanges),43.58636,7.11893,Nice Airport (Bus Station - Terminal 2),43.66021,7.20486,30.0,14.479,847.0,1.01
Belfort,47.6297,6.85617,Montbéliard (Exchange Terminal Montbéliard Acropole),47.5089,6.80187,15.0,19.496,1140.5,1.36
Montbéliard (Exchange Terminal Montbéliard Acropole),47.5089,6.80187,Besançon,47.24691,6.0226,62.5,81.677,4778.1,5.72
Besançon,47.24691,6.0226,Dijon (bus station),47.32353,5.0279,82.5,97.465,5701.7,6.82
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Clermont-Ferrand (Campus des Cézeaux),45.76416,3.1126,12.5,5.388,315.2,0.38
Clermont-Ferrand (Campus des Cézeaux),45.76416,3.1126,Bourges (central bus station),47.08247,2.3867,132.5,189.085,11061.5,13.24
Bourges (central bus station),47.08247,2.3867,Paris - Massy-Palaiseau (Bus station Vilmorin),48.72606,2.25714,155.0,228.004,13338.2,15.96
Paris (Bercy Seine),48.83532,2.38052,Laval (Bus Station),48.07614,-0.75964,210.0,277.375,16226.4,19.42
Laval (Bus Station),48.07614,-0.75964,Rennes (Central bus station),48.1039,-1.67062,60.0,78.711,4604.6,5.51
Montpellier (Sabines),43.58393,3.86023,Marseille Airport (Bus Station),43.44318,5.22045,112.5,150.321,8793.8,10.52
Marseille Airport (Bus Station),43.44318,5.22045,Marseille (central bus station St Charles),43.30408,5.37999,30.0,25.84,1511.6,1.81
Paris (Bercy Seine),48.83532,2.38052,Nantes Haluchère,47.24893,-1.52081,295.0,374.953,21934.8,26.25
