point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
METZ-NANCY-LORRAINE,48.97972,6.25,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,90.0,810.576,195754.1,97.27
STRASBOURG-ENTZHEIM,48.53972,7.62972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,87.5,742.552,179326.3,89.11
CAEN-CARPIQUET,49.17,-0.45,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,105.0,1080.709,260991.2,129.69
AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,NANTES-ATLANTIQUE,47.15972,-1.61,105.0,1009.766,243858.5,121.17
PAU-PYRENEES,43.38,-0.42,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,110.0,771.742,186375.7,92.61
LYON-SAINT-EXUPERY,45.72972,5.08,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,73.64,518.62,125246.7,62.23
STRASBOURG-ENTZHEIM,48.53972,7.62972,BASTIA-PORETTA,42.54972,9.48,85.0,682.156,164740.7,81.86
LYON-SAINT-EXUPERY,45.72972,5.08,BASTIA-PORETTA,42.54972,9.48,75.0,498.706,120437.5,59.84
ANGERS-MARCE,47.56,-0.31,BASTIA-PORETTA,42.54972,9.48,110.0,949.48,229299.4,113.94
LILLE-LESQUIN,50.56,3.08972,BASTIA-PORETTA,42.54972,9.48,110.0,1016.146,245399.3,121.94
CLERMONT-FERRAND-CLERMONT-FERRAND/AUVERGNE,45.78972,3.16,BASTIA-PORETTA,42.54972,9.48,75.0,619.952,149718.4,74.39
RENNES-ST-JACQUES,48.07,-1.72972,BASTIA-PORETTA,42.54972,9.48,115.0,1069.612,258311.3,128.35
CASTRES-MAZAMET,43.54972,2.29,BASTIA-PORETTA,42.54972,9.48,95.0,595.176,143735.0,71.42
METZ-NANCY-LORRAINE,48.97972,6.25,BASTIA-PORETTA,42.54972,9.48,100.0,758.258,183119.3,90.99
BREST-BRETAGNE,48.45,-4.41972,BASTIA-PORETTA,42.54972,9.48,135.0,1265.04,305507.2,151.8
BORDEAUX-MERIGNAC,44.82972,-0.71972,BASTIA-PORETTA,42.54972,9.48,90.0,858.647,207363.3,103.04
NANTES-ATLANTIQUE,47.15972,-1.61,BASTIA-PORETTA,42.54972,9.48,107.5,1013.105,244664.9,121.57
CLERMONT-FERRAND-CLERMONT-FERRAND/AUVERGNE,45.78972,3.16,FIGARI-SUD-CORSE,41.5,9.09972,80.0,675.612,163160.3,81.07
METZ-NANCY-LORRAINE,48.97972,6.25,FIGARI-SUD-CORSE,41.5,9.09972,92.5,861.892,208146.9,103.43
BORDEAUX-MERIGNAC,44.82972,-0.71972,FIGARI-SUD-CORSE,41.5,9.09972,100.0,878.436,212142.3,105.41
LILLE-LESQUIN,50.56,3.08972,FIGARI-SUD-CORSE,41.5,9.09972,120.0,1109.451,267932.4,133.13
STRASBOURG-ENTZHEIM,48.53972,7.62972,FIGARI-SUD-CORSE,41.5,9.09972,102.5,792.089,191289.5,95.05
CAEN-CARPIQUET,49.17,-0.45,FIGARI-SUD-CORSE,41.5,9.09972,110.0,1132.852,273583.8,135.94
RENNES-ST-JACQUES,48.07,-1.72972,FIGARI-SUD-CORSE,41.5,9.09972,115.0,1123.695,271372.3,134.84
NANTES-ATLANTIQUE,47.15972,-1.61,FIGARI-SUD-CORSE,41.5,9.09972,112.5,1058.712,255678.9,127.05
QUIMPER-PLUGUFFAN,47.97972,-4.16972,FIGARI-SUD-CORSE,41.5,9.09972,130.0,1270.451,306813.9,152.45
LYON-SAINT-EXUPERY,45.72972,5.08,FIGARI-SUD-CORSE,41.5,9.09972,72.5,571.352,137981.5,68.56
TOULOUSE-BLAGNAC,43.63,1.37,CALVI-ST-CATHERINE,42.52,8.78972,82.5,615.614,148670.8,73.87
LILLE-LESQUIN,50.56,3.08972,CALVI-ST-CATHERINE,42.52,8.78972,105.0,995.012,240295.4,119.4
CALVI-ST-CATHERINE,42.52,8.78972,METZ-NANCY-LORRAINE,48.97972,6.25,85.0,745.53,180045.5,89.46
