depart,depart,depart,arrivee,arrivee,arrivee,duree (min),distance (km)
nom,latitude,longitude,nom,latitude,longitude,,
Agen (Exit A62),44.16644,0.60633,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,85,109.8635
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Narbonne (Croix Sud),43.16527,2.98845,125,149.8058
Narbonne (Croix Sud),43.16527,2.98845,Montpellier (Sabines),43.58393,3.86023,65,91.1983
Montpellier (Sabines),43.58393,3.86023,Aire de Service d'Ambrussum Sud,43.71208,4.13054,25,28.3615
Aire de Service d'Ambrussum Sud,43.71208,4.13054,Nîmes (P+R Parnasse),43.81743,4.36218,25,25.4437
Nîmes (P+R Parnasse),43.81743,4.36218,Marseille (central bus station St Charles),43.30408,5.37999,90,119.7191
Marseille (central bus station St Charles),43.30408,5.37999,Toulon (Central Bus Station),43.12779,5.93074,60,66.5979
Toulon (Central Bus Station),43.12779,5.93074,Marseille (central bus station St Charles),43.30408,5.37999,70,65.4295
Marseille (central bus station St Charles),43.30408,5.37999,Nîmes (P+R Parnasse),43.81743,4.36218,90,118.6215
Nîmes (P+R Parnasse),43.81743,4.36218,Montpellier (Sabines),43.58393,3.86023,80,53.1727
Montpellier (Sabines),43.58393,3.86023,Narbonne (Croix Sud),43.16527,2.98845,65,90.421
Narbonne (Croix Sud),43.16527,2.98845,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,115,149.5386
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Agen (Exit A62),44.16644,0.60633,85,110.1081
Agen (Exit A62),44.16644,0.60633,Bordeaux Saint-Jean,44.82982,-0.55521,100,132.8369
Lille,50.6392,3.0762,Paris (Bercy Seine),48.83532,2.38052,180,221.9624
Paris (Bercy Seine),48.83532,2.38052,Lille,50.6392,3.0762,170,223.7503
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris (Bercy Seine),48.83532,2.38052,70,29.7487
Paris (Bercy Seine),48.83532,2.38052,Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,45,30.2235
Paris (Bercy Seine),48.83532,2.38052,Poitiers Futuroscope (Gare TGV),46.66958,0.37564,245,327.965
Poitiers Futuroscope (Gare TGV),46.66958,0.37564,Bordeaux Saint-Jean,44.82982,-0.55521,205,260.783
Bordeaux Saint-Jean,44.82982,-0.55521,Poitiers Futuroscope (Gare TGV),46.66958,0.37564,205,265.9006
Poitiers Futuroscope (Gare TGV),46.66958,0.37564,Paris (Bercy Seine),48.83532,2.38052,245,325.7554
Strasbourg,48.57418,7.75427,Metz (central bus station),49.11016,6.18377,120,165.2861
Metz (central bus station),49.11016,6.18377,Strasbourg,48.57418,7.75427,120,165.6578
Vannes (Central bus station),47.66492,-2.75143,Nantes Haluchère,47.24893,-1.52081,85,112.7281
Nantes Haluchère,47.24893,-1.52081,Angers (central bus station),47.46502,-0.55917,80,86.5924
Angers (central bus station),47.46502,-0.55917,Saumur Nord -Vivy,47.31008,-0.03161,40,58.7217
Saumur Nord -Vivy,47.31008,-0.03161,Tours (Parking les Peupliers),47.38338,0.70235,50,79.1765
Tours (Parking les Peupliers),47.38338,0.70235,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,266,340.9862
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Lyon Perrache (Central Bus Station),45.74875,4.82602,125,165.9137
Lyon Perrache (Central Bus Station),45.74875,4.82602,Grenoble (central bus station),45.19283,5.71394,110,104.4014
Brest,48.38771,-4.48221,Quimper (Central bus station),47.99469,-4.09378,60,73.3314
Quimper (Central bus station),47.99469,-4.09378,Lorient (central bus station),47.75536,-3.36449,60,66.1424
Lorient (central bus station),47.75536,-3.36449,Auray - Pluneret,47.66805,-2.95515,40,40.2996
Auray - Pluneret,47.66805,-2.95515,Vannes (Central bus station),47.66492,-2.75143,20,17.9458
Vannes (Central bus station),47.66492,-2.75143,Nantes Haluchère,47.24893,-1.52081,85,112.7281
Nantes Haluchère,47.24893,-1.52081,Angers (central bus station),47.46502,-0.55917,80,86.5924
Angers (central bus station),47.46502,-0.55917,Saumur Nord -Vivy,47.31008,-0.03161,40,58.7217
Saumur Nord -Vivy,47.31008,-0.03161,Tours (Parking les Peupliers),47.38338,0.70235,50,79.1765
Tours (Parking les Peupliers),47.38338,0.70235,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,266,340.9862
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Lyon Perrache (Central Bus Station),45.74875,4.82602,125,165.9137
Lyon Perrache (Central Bus Station),45.74875,4.82602,Grenoble (central bus station),45.19283,5.71394,110,104.4014
Grenoble (central bus station),45.19283,5.71394,Lyon Perrache (Central Bus Station),45.74875,4.82602,85,105.3058
Lyon Perrache (Central Bus Station),45.74875,4.82602,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,135,166.3595
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Tours (Parking les Peupliers),47.38338,0.70235,260,341.5157
Tours (Parking les Peupliers),47.38338,0.70235,Saumur Nord -Vivy,47.31008,-0.03161,50,70.9334
Saumur Nord -Vivy,47.31008,-0.03161,Angers (central bus station),47.46502,-0.55917,40,61.1744
Angers (central bus station),47.46502,-0.55917,Nantes Haluchère,47.24893,-1.52081,80,82.9569
Nantes Haluchère,47.24893,-1.52081,Vannes (Central bus station),47.66492,-2.75143,100,114.1218
Vannes (Central bus station),47.66492,-2.75143,Auray - Pluneret,47.66805,-2.95515,20,16.631
Auray - Pluneret,47.66805,-2.95515,Lorient (central bus station),47.75536,-3.36449,40,41.5645
Lorient (central bus station),47.75536,-3.36449,Quimper (Central bus station),47.99469,-4.09378,55,68.4116
Quimper (Central bus station),47.99469,-4.09378,Brest,48.38771,-4.48221,65,71.6061
Grenoble (central bus station),45.19283,5.71394,Lyon Perrache (Central Bus Station),45.74875,4.82602,85,105.3058
Lyon Perrache (Central Bus Station),45.74875,4.82602,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,135,166.3595
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Tours (Parking les Peupliers),47.38338,0.70235,260,341.5157
Tours (Parking les Peupliers),47.38338,0.70235,Saumur Nord -Vivy,47.31008,-0.03161,50,70.9334
Saumur Nord -Vivy,47.31008,-0.03161,Angers (central bus station),47.46502,-0.55917,40,61.1744
Angers (central bus station),47.46502,-0.55917,Nantes Haluchère,47.24893,-1.52081,80,82.9569
Nantes Haluchère,47.24893,-1.52081,Vannes (Central bus station),47.66492,-2.75143,100,114.1218
Paris Charles de Gaulle (Central Bus Station - Terminal 3),49.01067,2.55926,Paris (Bercy Seine),48.83532,2.38052,60,29.7487
Paris (Bercy Seine),48.83532,2.38052,Paris (Orly Airport),48.73156,2.37358,30,16.5344
Paris (Orly Airport),48.73156,2.37358,Le Mans,48.01747,0.14949,150,200.1686
Le Mans,48.01747,0.14949,Angers (central bus station),47.46502,-0.55917,65,92.18
Angers (central bus station),47.46502,-0.55917,Nantes Haluchère,47.24893,-1.52081,60,82.9569
Nantes Haluchère,47.24893,-1.52081,La Roche sur Yon,46.67306,-1.43512,55,75.2175
La Roche sur Yon,46.67306,-1.43512,La Rochelle (Bus Station),46.16225,-1.15415,85,84.5115
